EVERYTHING,,,,Pre-1900,1920s,1930s,1940s,1950s,1970s,1980s,1990s,2000s,2010,2011,2012,2013,2014,2015,2016,QUICK NAVIGATION & LEGEND,,,,"TIMELINE
PLACEMENT
LINKS",REALITY DESIGNATION
,,,,,,,,,,,,,,NOTE: Title at 0:01:48,,,,,,,,,,,
,Daredevil,,,,2.09,Seven Minutes in Heaven,,,,0:00:14,,0:02:00,,"NOTE 1: 2.09 redoes the ending of 1.13. For the 1.13 version, stop at 0:01:46, where Fisk is being led to his cell, and cut to the ALTERNATE 1.13 clip.",,,,,,,,,,,
,,,,,,,,,,,,,,Flashback: Up to Fisk sitting in his cell staring at the wall,,,,,,,,,,,
,,,,,,,,,,,,,,NOTE 2: Benjamin Donovan's dialogue comes in early at 0:02:01.,,,,,,,,,,,
,Daredevil,,,,1.13,Daredevil,,,,0:53:06,,0:53:42,,ALTERNATE: Fisk being placed in his cell and staring at the wall,,,,,,,,,,,
,Daredevil,,,,1.13,Daredevil,,,,0:53:45,,0:54:08,,Matt standing on the edge of a roof in his Daredevil costume up to the end of the episode,,,,,,,,,,,
,Iron Fist,,,,2.02,The City's Not for Burning,,,,0:13:07,,0:14:58,,NOTE: This flashback marks the beginning of the Duel of K'un Lun.,,,,,,,,,,MAR,
,,,,,,,,,,,,,,Duel of K'un-Lun: Out of focus drummer up to Danny and Davos both leaping at each other,,,,,,,,,,,
,Jessica Jones,,,,1.01,AKA Ladies Night,,,,0:01:25,,0:02:07,,Jessica capturing photographic proof of man and woman having an affair,,,,,,,,,,,
,Iron Fist,,,,2.02,The City's Not for Burning,,,,0:24:50,,0:27:35,,Duel of K'un-Lun: Overhead view of Danny and Davos circling each other up to both of them standing up and Danny wrapping his hand,,,,,,,,,,,
,Iron Fist,,,,2.02,The City's Not for Burning,,,,0:45:05,,0:47:12,,Duel of K'un-Lun: Danny being punched by Davos up to Danny leaving the dueling chamber,,,,,,,,,,,
,Iron Fist,,,,2.05,Heart of the Dragon,,,,0:15:08,,0:17:18,,"Flashback: Davo's mother, Priya, visiting him with medicine up to Davos repeating ""I will make you proud.""",,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,2.06,A Fractured House,,,,0:00:39,,0:06:22,,"Up to Sen. Christian Ward saying to Gen. Glenn Talbot ""It's time I do what I should have done months ago - put S.H.I.E.L.D. in the ground for good.""",,,,,,,,,,,
,,,,,,,,,,,,,,NOTE: Title at 0:02:10,,,,,,,,,,,
,Jessica Jones,,,,1.01,AKA Ladies Night,,,,0:02:08,,0:02:41,,Jessica being confronted by an unhappy client up to her tossing him through the glass pane in her door,,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,2.06,A Fractured House,,,,0:06:24,,0:40:08,,Sen. Christian Ward on WHiH World News up to Ward breaking out of his restraints in his transfer vehicle,,,,,,,,,,,
,Jessica Jones,,,,1.01,AKA Ladies Night,,,,0:02:42,,0:50:38,,Jessica walking down the street up to the end of the episode,,,,,,,,,,,
,Jessica Jones,,,,1.02,AKA Crush Syndrome,,,,0:01:26,,0:50:36,,Full episode,,,,,,,,,,,
,Jessica Jones,,,,1.03,AKA It's Called Whiskey,,,,0:01:27,,0:03:04,,Up to Jessica slamming the door on Ruben,,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,2.06,A Fractured House,,,,0:40:13,,0:41:07,,Sebastian Derik visiting a tattoo shop to get more Words of Creation tattooed onto his torso,,,,,,,,,,,
,Jessica Jones,,,,1.03,AKA It's Called Whiskey,,,,0:03:05,,0:18:00,,Jessica and Luke eating at a food truck up to Jessica saving Malcolm from an overzealous bicyclist,,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,2.07,The Writing on the Wall,,,,0:00:53,,0:10:38,,Up to Simmons beginning the autopsy of Janice Robbins,,,,,,,,,,,
,,,,,,,,,,,,,,NOTE: Title at 0:04:59,,,,,,,,,,,
,Jessica Jones,,,,1.03,AKA It's Called Whiskey,,,,0:18:00,,0:19:51,,Jessica being woken up by two door repairmen knocking on her door up to Jessica remembering Dr. Reva Connors and hanging up on Trish,,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,2.07,The Writing on the Wall,,,,0:10:38,,0:36:40,,"Aerial view of Atlanta, Georgia up to Coulson and Derik finding out that the Words of Creation are a map of a city",,,,,,,,,,,
,Jessica Jones,,,,1.03,AKA It's Called Whiskey,,,,0:19:52,,0:24:20,,"Luke wiping down the counter of his bar up to Jessica and Luke lying in bed together, Luke saying ""I got no idea what you're thinking."" and Jessica replying ""I think you do."" and then kissing him",,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,2.07,The Writing on the Wall,,,,0:36:40,,0:39:33,,"Hank Thompson finding out he was a ""super spy"" up to Coulson showing the whole team the map of the alien city",,,,,,,,,,,
,Jessica Jones,,,,1.03,AKA It's Called Whiskey,,,,0:24:20,,0:38:11,,Hope Shlottman speaking on Trish Talk via Jeri's phone up to Jessica setting up her phone to tail Will Simpson,,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,2.07,The Writing on the Wall,,,,0:39:39,,0:41:58,,"Skye putting on a record, Ward shaving up to the end of the episode",,,,,,,,,,,
,Jessica Jones,,,,1.03,AKA It's Called Whiskey,,,,0:38:12,,0:51:07,,Jessica rounding a corner and spotting Simpson up to the end of the episode,,,,,,,,,,,
,Jessica Jones,,,,1.04,AKA 99 Friends,,,,0:01:25,,0:46:49,,Full episode,,,,,,,,,,,
,Jessica Jones,,,,1.05,AKA The Sandwich Saved Me,,,,0:06:10,,0:14:59,,NOTE 1: This episode contains flashbacks.,,,,,,,,,,,
,,,,,,,,,,,,,,Jessica and Trish looking at before and after photos of Malcolm up to Simpson going to get dressed,,,,,,,,,,,
,,,,,,,,,,,,,,NOTE 2: Jessica's dialogue begins at 0:06:07.,,,,,,,,,,,
,Iron Fist,,,,1.11,Lead Horse Back to Stable,,,,0:00:14,,0:02:12,,Flashback: Davos approaching the cave of Shou-Lao and finding Danny,,,,,,,,,,,
,Iron Fist,,,,2.10,A Duel of Iron,,,,0:01:26,,0:02:04,,NOTE: This clip has narration from Danny directed at the audience. This clip is a continuation of a clip shown earlier. Danny's narration at the beginning of this clip is the continuation from the earlier clip. The earlier clip begins at 0:00:14.,,,,,,,,,,,
,,,,,,,,,,,,,,"Flashback: Danny walking, supported by Davos up to him lighting up his fist",,,,,,,,,,,
,Jessica Jones,,,,1.05,AKA The Sandwich Saved Me,,,,0:14:59,,0:17:40,,"Jessica and Simpson driving, Jessica saying ""You'll have to come in close."" up to Simpson standing in the hermetically sealed room and them both smiling and giving each other thumbs-up",,,,,,,,,,,
,Jessica Jones,,,,1.05,AKA The Sandwich Saved Me,,,,0:18:26,,0:19:16,,Jessica finding Malcolm passed out in the elevator up to Ruben asking her out,,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,2.08,The Things We Bury,,,,0:02:52,,0:04:40,,NOTE: This episode contains flashbacks.,,,,,,,,,,,
,,,,,,,,,,,,,,"Whitehall learning the results of his researchers' work on the Diviner up to Cal saying to Whitehall ""It won't just kill. It will do something, scientifically speaking, much, much cooler.""",,,,,,,,,,,
,Jessica Jones,,,,1.05,AKA The Sandwich Saved Me,,,,0:19:16,,0:23:20,,Simpson showing Trish the van he has acquired up to Jessica visiting Hope and giving her money,,,,,,,,,,,
,Jessica Jones,,,,1.05,AKA The Sandwich Saved Me,,,,0:24:35,,0:36:05,,Jessica sitting on her desk up to Jessica repeatedly shoving Malcolm onto his bed,,,,,,,,,,,
,Jessica Jones,,,,1.05,AKA The Sandwich Saved Me,,,,0:38:41,,0:42:55,,"Malcolm handcuffed in Jessica's bathroom, Jessica delivering him a peanut butter sandwich up to Trish loading her gun",,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,2.08,The Things We Bury,,,,0:04:43,,0:12:28,,"The Bus flying cloaked, Coulson on a call with May up to May showing Jemma the hidden key to Vault B",,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,2.08,The Things We Bury,,,,0:14:11,,0:20:32,,Cal correcting Whitehall on the purpose of the Diviner up to May showing the team an old photo of Reinhardt and saying that he was kept in The Rat for life,,,,,,,,,,,
,,,,,,,,,,,,,,NOTE: Cal's dialogue begins at 0:14:10.,,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,2.08,The Things We Bury,,,,0:23:53,,0:41:39,,NOTE 1: This clip includes the flashback of Reinhardt's experiments on Jiaying because he is talking to Ward in the present while the experiments are shown on screen.,,,,,,,,,,,
,,,,,,,,,,,,,,"Jemma saying that Undersecretary Pierce granted Reinhardt medical parole up to Cal saying ""It's always good to look your enemy right in the eye."" and looking at Whitehall",,,,,,,,,,,
,,,,,,,,,,,,,,NOTE 2: S.H.I.E.L.D. logo at 0:40:41,,,,,,,,,,,
,Jessica Jones,,,,1.05,AKA The Sandwich Saved Me,,,,0:42:55,,0:43:24,,Hope being attacked at night,,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,2.09,…Ye Who Enter Here,,,,0:00:45,,0:02:50,,Skye dreaming up to her being woken by Coulson and him telling her they're back,,,,,,,,,,,
,,,,,,,,,,,,,,NOTE: Skye's panting and dialogue begins at 0:00:43.,,,,,,,,,,,
,Jessica Jones,,,,1.05,AKA The Sandwich Saved Me,,,,0:43:25,,0:48:07,,Kilgrave waking up up to the end of the episode,,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,2.09,…Ye Who Enter Here,,,,0:07:16,,0:09:14,,"Aerial view of Vancouver, B.C. up to Sam Koenig taking Raina's picture and saying she will need a lanyard",,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,2.09,…Ye Who Enter Here,,,,0:02:53,,0:07:15,,"Mack driving RC Lola down a hallway up to Coulson saying ""One crisis at a time."" and Bobbi and Mack looking at each other",,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,2.09,…Ye Who Enter Here,,,,0:09:16,,0:42:21,,"The Bus flying cloaked, Coulson on a call with Billy Koenig up to the end of the episode",,,,,,,,,,,
,,,,,,,,,,,,,,NOTE: S.H.I.E.L.D. logo at 0:41:13,,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,2.10,What They Become,,,,0:00:40,,0:42:22,,Full episode,,,,,,,,,,,
,,,,,,,,,,,,,,NOTE: Title at 0:02:52 and S.H.I.E.L.D. logo at 0:41:39,,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,2.11,Aftershocks,,,,0:03:42,,0:16:15,,"Skye sitting in quarantine up to Coulson yelling at Mack, leaving the Lab and Skye looking worried",,,,,,,,,,APR,
,,,,,,,,,,,,,,NOTE 1: Jiaying's dialogue from the previous scene ends at 0:03:43.,,,,,,,,,,,
,,,,,,,,,,,,,,NOTE 2: Title at 0:03:57,,,,,,,,,,,
,Jessica Jones,,,,1.06,AKA You're a Winner!,,,,0:01:25,,0:08:49,,Up to Jeri calling Jessica and telling her that Hope was attacked and is in the prison infirmary,,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,2.11,Aftershocks,,,,0:16:15,,0:21:37,,"Coulson visiting Bakshi while on a video call with Talbot up to Hunter ""turning"" on Bakshi",,,,,,,,,,,
,Jessica Jones,,,,1.06,AKA You're a Winner!,,,,0:08:49,,0:22:44,,Jessica meeting Jeri outside the prison up to Jeri proposing to Pam,,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,2.11,Aftershocks,,,,0:21:40,,0:23:30,,Jemma drawing blood from Skye up to Jemma leaving to do testing on Skye's blood,,,,,,,,,,,
,,,,,,,,,,,,,,NOTE: Jemma's dialogue begins at 0:21:38.,,,,,,,,,,,
,Jessica Jones,,,,1.06,AKA You're a Winner!,,,,0:22:44,,0:25:14,,Jessica on her laptop and being visited by Luke up to them kissing,,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,2.11,Aftershocks,,,,0:23:30,,0:42:21,,"Ship docked in San Juan, Puerto Rico up to the end of the episode",,,,,,,,,,,
,,,,,,,,,,,,,,NOTE: S.H.I.E.L.D. logo at 0:40:47,,,,,,,,,,,
,Jessica Jones,,,,1.06,AKA You're a Winner!,,,,0:25:17,,0:52:09,,"Morning, Luke and Jessica in bed up to the end of episode",,,,,,,,,,,
,Jessica Jones,,,,1.07,AKA Top Shelf Perverts,,,,0:01:25,,0:52:56,,Full episode,,,,,,,,,,,
,Jessica Jones,,,,1.08,AKA WWJD?,,,,0:01:25,,0:17:29,,"Up to the bomb being found, Jessica recording Kilgrave and playing the recording back once he leaves",,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,2.12,Who You Really Are,,,,0:00:44,,0:06:46,,"Up to May informing Coulson that a ""Blue Dot"" operative has phoned in",,,,,,,,,,,
,,,,,,,,,,,,,,NOTE: Title at 0:02:07,,,,,,,,,,,
,Daredevil,,,,2.09,Seven Minutes in Heaven,,,,0:02:03,,0:03:20,,Flashback: Fisk meeting with his attorney Benjamin Donovan,,,,,,,,,,,
,,,,,,,,,,,,,,NOTE: Donovan's dialogue begins at 0:02:02.,,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,2.12,Who You Really Are,,,,0:06:47,,0:34:25,,"""Faro, Portugal,"" Coulson and May arriving at the police station up to Skye shooting herself with an I.C.E.R. and Sif standing down",,,,,,,,,,,
,Jessica Jones,,,,1.08,AKA WWJD?,,,,0:17:29,,0:29:59,,"Aerial view of NYC at night, Jeri and Wendy having a meeting with their lawyers up to Kilgrave putting the USB drive on the table",,,,,,,,,,,
,Jessica Jones,,,,1.08,AKA WWJD?,,,,0:30:18,,0:34:08,,"Jessica looking at the USB drive back to Kilgrave, them watch the video footage on the USB drive up to Jessica and Kilgrave leaving the house",,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,2.12,Who You Really Are,,,,0:34:26,,0:37:36,,Sif leaving Earth with Vin-Tak,,,,,,,,,,,
,Daredevil,,,,2.09,Seven Minutes in Heaven,,,,0:03:20,,0:04:49,,Flashback: Dutton visiting Fisk in his cell,,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,2.12,Who You Really Are,,,,0:37:37,,0:39:44,,"The team cleaning the base and confronting Fitz up to Skye closing the door to ""the Cage""",,,,,,,,,,,
,Jessica Jones,,,,1.08,AKA WWJD?,,,,0:34:09,,0:38:50,,Jessica and Kilgrave arriving at the hostage situation up to Jessica going for a walk,,,,,,,,,,,
,Jessica Jones,,,,1.08,AKA WWJD?,,,,0:39:14,,0:48:19,,Jessica arriving at Trish's apartment up to the end of the episode,,,,,,,,,,,
,Jessica Jones,,,,1.09,AKA Sin Bin,,,,0:01:26,,0:15:16,,Up to Jeri pushing record on the camera and Kilgrave sitting down,,,,,,,,,,,
,Daredevil,,,,2.09,Seven Minutes in Heaven,,,,0:04:51,,0:06:27,,Flashback: Fisk in the prison cafeteria up to Fisk asking Stewart Finney if the Valdez brothers have family,,,,,,,,,,,
,Jessica Jones,,,,1.09,AKA Sin Bin,,,,0:15:17,,0:21:45,,Trish talking with Simpson in the hospital up to Trish electrocuting Jessica and Kilgrave,,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,2.12,Who You Really Are,,,,0:39:49,,0:41:00,,"S.H.I.E.L.D. Hangar, Hunter confronting Mack in the Bus",,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,2.13,One of Us,,,,0:00:45,,0:04:09,,"Up to Karla Faye Gideon saying ""I'm in.""",,,,,,,,,,,
,Jessica Jones,,,,1.09,AKA Sin Bin,,,,0:21:46,,0:29:40,,"Jessica reviewing the footage of her beating Kilgrave up to Jessica searching ""Sin Bin"" and ""Eric Brandtford"" on her laptop and Kilgrave pacing his cell",,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,2.13,One of Us,,,,0:04:13,,0:07:53,,"S.H.I.E.L.D. hangar, Skye finishing eating a grilled cheese sandwich up to Bobbi calling Mack",,,,,,,,,,,
,Jessica Jones,,,,1.09,AKA Sin Bin,,,,0:29:41,,0:34:01,,Jessica on the phone with Prof. Davies up to Jessica leaving a boot print on a picture of Louise Thompson,,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,2.13,One of Us,,,,0:07:54,,0:27:40,,"Aerial view of Culver University, May visiting Andrew Garner up to David Angar yelling",,,,,,,,,,,
,Jessica Jones,,,,1.09,AKA Sin Bin,,,,0:34:02,,0:39:44,,"Exterior of Court Square Diner, Jessica arriving for the ""Kilgrave Support Group"" meeting up to Det. Clemons receiving texts from Jessica",,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,2.13,One of Us,,,,0:27:42,,0:36:58,,Mack bringing Hunter dinner up to Skye falling unconscious,,,,,,,,,,,
,,,,,,,,,,,,,,"NOTE: It is unclear if Cal's ""Daisy, what have they done to you?"" line should be tied to this clip or the next. It ends at 0:37:01.",,,,,,,,,,,
,Jessica Jones,,,,1.09,AKA Sin Bin,,,,0:39:44,,0:43:07,,Trish staring at Kilgrave up to Simpson taking two red pills,,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,2.13,One of Us,,,,0:37:01,,0:40:06,,Skye waking up up to Garner leaving,,,,,,,,,,,
,,,,,,,,,,,,,,"NOTE: It is unclear if Cal's ""Daisy, what have they done to you?"" line should be tied to this clip or the next. It begins at 0:36:58.",,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,2.13,One of Us,,,,0:41:01,,0:42:22,,Gordon visiting Cal,,,,,,,,,,,
,Jessica Jones,,,,1.09,AKA Sin Bin,,,,0:43:07,,0:52:15,,Jeri about to release Kilgrave up to Jessica escaping from Clemons,,,,,,,,,,,
,Jessica Jones,,,,1.10,"AKA 1,000 Cuts",,,,0:01:25,,0:02:01,,Up to Kilgrave and Jeri driving away,,,,,,,,,,,
,Jessica Jones,,,,1.09,AKA Sin Bin,,,,0:52:16,,0:52:51,,Jessica exiting the building up to her remembering she didn't let go of Kilgrave when he yelled at her to,,,,,,,,,,,
,Jessica Jones,,,,1.09,AKA Sin Bin,,,,0:53:17,,0:53:24,,Jessica smiling at her revelation,,,,,,,,,,,
,Jessica Jones,,,,1.10,"AKA 1,000 Cuts",,,,0:02:12,,0:10:52,,Jeri stopping the car up to Wendy cutting Jeri and beginning to count,,,,,,,,,,,
,Daredevil,,,,2.09,Seven Minutes in Heaven,,,,0:06:28,,0:07:10,,Flashback: Fisk meeting with Donovan about providing financial aid for his new associates in prison,,,,,,,,,,,
,Jessica Jones,,,,1.10,"AKA 1,000 Cuts",,,,0:10:53,,0:38:20,,Clemons hearing a door open and meeting Simpson up to Trish making Simpson leave the motel room,,,,,,,,,,,
,,,,,,,,,,,,,,"NOTE: This clip includes the flashback scenes of Jessica and Kilgrave on the rooftop patio at 0:26:35, 0:27:24 and 0:29:27 because they are integral to the scene.",,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,2.13,One of Us,,,,0:40:07,,0:40:56,,"Mack saying to Hunter ""Our ride's here. Let's go."" up to Mack revealing he and Bobbi work for the ""real S.H.I.E.L.D. """,,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,2.14,Love in the Time of HYDRA,,,,0:07:08,,0:12:03,,"Hunter being led into the ""real S.H.I.E.L.D. "" command center up to Bobbi saying to Hunter ""I believe they're right. Coulson has been compromised.""",,,,,,,,,,,
,Jessica Jones,,,,1.10,"AKA 1,000 Cuts",,,,0:38:21,,0:44:36,,Jessica being woken up by her phone ringing up to the end of the episode,,,,,,,,,,,
,Jessica Jones,,,,1.12,AKA Take a Bloody Number,,,,0:02:08,,0:03:43,,NOTE: In the present Luke is telling Jessica how he met Kilgrave. This clip leaves out his dialogue at the beginning of the flashback.,,,,,,,,,,,
,,,,,,,,,,,,,,"Flashback: Kilgrave and his father approaching an SUV and Luke running up to them up to Kilgrave saying ""I'll have to think of a fitting response to that."" and Luke looking confused",,,,,,,,,,,
,Jessica Jones,,,,1.11,AKA I've Got the Blues,,,,0:03:17,,0:08:41,,NOTE: This episode contains flashbacks.,,,,,,,,,,,
,,,,,,,,,,,,,,Jessica covering Hope's body up to Jessica and Trish driving away,,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,2.14,Love in the Time of HYDRA,,,,0:00:45,,0:07:07,,"Up to Agent 33 getting her Nano Mask repaired and Ward saying to Selwyn ""Or we just wait for the right time to reveal the truth.""",,,,,,,,,,,
,,,,,,,,,,,,,,NOTE: Title at 0:02:21,,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,2.14,Love in the Time of HYDRA,,,,0:12:04,,0:32:26,,Coulson using Fury's Toolbox up to Talbot realizing his wife isn't Agent 33,,,,,,,,,,,
,Jessica Jones,,,,1.11,AKA I've Got the Blues,,,,0:08:42,,0:12:31,,Jessica and Trish opening the doors to the Riverbank Medical Center mortuary up to Jessica and Trish parting ways,,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,2.14,Love in the Time of HYDRA,,,,0:32:26,,0:42:21,,Hunter pacing the conference room up to the end of the episode,,,,,,,,,,,
,,,,,,,,,,,,,,NOTE: S.H.I.E.L.D. logo at 0:40:33,,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,2.15,One Door Closes,,,,0:03:15,,0:10:10,,NOTE: This episode contains flashbacks.,,,,,,,,,,,
,,,,,,,,,,,,,,"Bobbi arriving at the S.H.I.E.L.D. base on her motorcycle up to May telling Coulson that Bobbi says she's working for the ""real S.H.I.E.L.D. "" and Coulson asking ""What the hell does that mean?""",,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,2.15,One Door Closes,,,,0:11:17,,0:21:36,,Bobbi making contact with Gonzales and Calderon via a tablet hidden in a fire extinguisher up to Mack finding Fitz in the server room and asking him to trust him,,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,2.15,One Door Closes,,,,0:24:09,,0:25:52,,"Coulson handcuffing Bobbi to a railing up to the ""real S.H.I.E.L.D. "" breaching the base and Gonzales saying ""Mack needs medical.""",,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,2.15,One Door Closes,,,,0:27:02,,0:34:46,,"Jemma and Fitz sitting on the floor in the lab, Bobbi in the lab seeing Coulson being led down the hallway in restraints up to Bobbi and co. exiting the Quinjet",,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,2.15,One Door Closes,,,,0:36:43,,0:41:04,,Gonzales speaking with Coulson in Coulson's office up to Gordon rescuing Skye and Bobbi standing up,,,,,,,,,,,
,,,,,,,,,,,,,,NOTE: Gonzales' dialogue begins at 0:36:40.,,,,,,,,,,,
,Jessica Jones,,,,1.11,AKA I've Got the Blues,,,,0:12:31,,0:20:54,,Montage of Jessica in a taxi visiting various hospitals up to Jessica lying on Trish's couch and pushing the blanket off of her,,,,,,,,,,,
,,,,,,,,,,,,,,NOTE: Patsy's dialogue comes in early at 0:20:53.,,,,,,,,,,,
,Jessica Jones,,,,1.11,AKA I've Got the Blues,,,,0:23:55,,0:40:19,,Jessica lying on Trish's couch and receiving a text up to Trish collapsing and Jessica calling for an ambulance,,,,,,,,,,,
,Jessica Jones,,,,1.11,AKA I've Got the Blues,,,,0:41:28,,0:48:42,,Trish being looked at in the ambulance up to the end of the episode,,,,,,,,,,,
,Jessica Jones,,,,1.12,AKA Take a Bloody Number,,,,0:01:27,,0:27:16,,Up to Jessica leaving the scene of the suicide in Central Park,,,,,,,,,,,
